"","chr","start","end","strand","PAnum","tot_tag","coord","refPAnum","ftr","gene_id","biotype","ftr_start","ftr_end","upstream_id","upstream_start","upstream_end","downstream_id","downstream_start","downstream_end","Amp311_R1","Amp311_R2","Amp311_R3","average"
"21276","2",5953665,5953840,"+",33,134,5953711,47,"exon","AT2G14115","lncRNA","5953196","5954039",NA,NA,NA,NA,NA,NA,17.5634149049412,13.3942006502121,11.6241223787604,14.1939126446379
"21306","2",6040972,6041018,"+",17,44,6041018,13,"three_prime_UTR","AT2G14255","protein_coding","6040893","6041097",NA,NA,NA,NA,NA,NA,5.0181185442689,4.06912424816572,5.1662766127824,4.75117313507234
"21338","2",6129241,6129251,"+",9,55,6129246,20,"intergenic","AT2G14395","protein_coding","6120748","6131881","AT2G14395",6119467,6120748,"AT2G06135",6131881,6132269,5.0181185442689,2.71274949877714,13.3462145830212,7.02569420868908
"21350","2",6190256,6190349,"+",25,132,6190317,45,"three_prime_UTR","AT2G14530","protein_coding","6190138","6190380",NA,NA,NA,NA,NA,NA,12.5452963606723,14.0723880249064,12.4851684808908,13.0342842888232
"21372","2",6214714,6214817,"+",24,288,6214785,134,"three_prime_UTR","AT2G14560","protein_coding","6214774","6215026",NA,NA,NA,NA,NA,NA,23.8360630852773,27.297041831445,38.3165515448028,29.8165521538417
"21376","2",6215135,6215368,"+",84,1809,6215262,372,"three_prime_UTR","AT2G14560","protein_coding","6215171","6215932",NA,NA,NA,NA,NA,NA,164.343382324806,161.747688864587,255.300169281664,193.797080157019
"21379","2",6215797,6215977,"+",21,63,6215875,15,"three_prime_UTR","AT2G14560","protein_coding","6215171","6215932",NA,NA,NA,NA,NA,NA,4.39085372623529,6.78187374694286,6.8883688170432,6.02036543007378
"21380","2",6217711,6217741,"+",7,39,6217714,30,"intergenic","AT2G14560","protein_coding","6215932","6244772","AT2G14560",6213617,6215932,"AT2G14620",6244772,6246279,2.50905927213445,4.57776477918643,3.4441844085216,3.51033615328083
"21406","2",6273072,6273100,"+",16,130,6273085,49,"three_prime_UTR","AT2G14660","protein_coding","6272983","6273227",NA,NA,NA,NA,NA,NA,19.445209359042,13.7332943375593,7.7494149191736,13.6426395385916
"21414","2",6283913,6283941,"+",8,51,6283920,27,"three_prime_UTR","AT2G14680","protein_coding","6283767","6283940",NA,NA,NA,NA,NA,NA,3.76358890820168,5.934139528575,4.305230510652,4.66765298247623
"21421","2",6312572,6312699,"+",47,394,6312611,85,"three_prime_UTR","AT2G14740","protein_coding","6312442","6312726",NA,NA,NA,NA,NA,NA,38.890418718084,43.0648982930872,33.5807979830856,38.5120383314189
"21423","2",6313998,6314011,"+",6,32,6313998,27,"five_prime_UTR","AT2G14750","protein_coding","6313883","6314127",NA,NA,NA,NA,NA,NA,0.627264818033613,3.22139002979786,5.1662766127824,3.00497715353796
"21425","2",6315583,6315597,"+",3,28,6315597,23,"three_prime_UTR","AT2G14750","protein_coding","6315502","6316047",NA,NA,NA,NA,NA,NA,3.76358890820168,2.54320265510357,3.0136613574564,3.10681764025388
"21426","2",6315632,6315657,"+",12,133,6315646,51,"three_prime_UTR","AT2G14750","protein_coding","6315502","6316047",NA,NA,NA,NA,NA,NA,8.78170745247058,11.86827905715,21.0956295021948,13.9152053372718
"21427","2",6315686,6315791,"+",16,41,6315763,13,"three_prime_UTR","AT2G14750","protein_coding","6315502","6316047",NA,NA,NA,NA,NA,NA,1.88179445410084,4.23867109183929,5.5967996638476,3.90575506992924
"21453","2",6353418,6353463,"+",14,29,6353426,5,"intergenic","AT2G14765","protein_coding","6351964","6354122","AT2G14765",6351289,6351964,"AT2G06225",6354122,6354670,4.39085372623529,1.52592159306214,5.5967996638476,3.83785832771501
"21458","2",6363986,6364091,"+",20,47,6364021,19,"three_prime_UTR","AT2G14825","protein_coding","6363894","6364093",NA,NA,NA,NA,NA,NA,6.27264818033613,5.25595215388072,2.5831383063912,4.70391288020268
"21462","2",6370823,6371036,"+",68,422,6370945,144,"three_prime_UTR","AT2G14835","protein_coding","6370611","6371073",NA,NA,NA,NA,NA,NA,38.2631539000504,46.9644756975793,36.1639362894768,40.4638552957022
"21471","2",6387562,6387575,"+",8,113,6387565,52,"three_prime_UTR","AT2G14850","protein_coding","6387276","6387570",NA,NA,NA,NA,NA,NA,11.290766724605,11.3596385261293,12.0546454298256,11.5683502268533
"21479","2",6400815,6401020,"+",112,2555,6400976,321,"three_prime_UTR","AT2G14890","protein_coding","6400756","6401149",NA,NA,NA,NA,NA,NA,226.442599310134,297.046070116097,190.291188570818,237.92661933235
"21485","2",6405163,6405274,"+",14,37,6405274,11,"three_prime_UTR","AT2G14900","protein_coding","6405044","6405352",NA,NA,NA,NA,NA,NA,4.39085372623529,3.89957740449214,3.0136613574564,3.76803082939461
"21525","2",6512627,6512674,"+",16,70,6512635,15,"three_prime_UTR","AT2G15042","protein_coding","6512419","6512641",NA,NA,NA,NA,NA,NA,1.88179445410084,6.78187374694286,11.6241223787604,6.7625968599347
"21529","2",6519303,6519370,"+",19,86,6519327,40,"three_prime_UTR","AT2G15050","protein_coding","6519260","6521549",NA,NA,NA,NA,NA,NA,11.290766724605,9.32507640204643,5.5967996638476,8.73754759683302
"21533","2",6520012,6520074,"+",10,34,6520049,18,"three_prime_UTR","AT2G15050","protein_coding","6519889","6521549",NA,NA,NA,NA,NA,NA,2.50905927213445,2.88229634245071,5.5967996638476,3.66271842614426
"21534","2",6520100,6520162,"+",18,158,6520123,62,"three_prime_UTR","AT2G15050","protein_coding","6519889","6521549",NA,NA,NA,NA,NA,NA,19.445209359042,15.5983096179686,15.068306787282,16.7039419214309
"21562","2",6543867,6544000,"+",57,1054,6543892,523,"three_prime_UTR","AT2G15090","protein_coding","6543782","6544118",NA,NA,NA,NA,NA,NA,94.0897227050419,109.866354700474,110.213901072691,104.723326159402
"21565","2",6558947,6559010,"+",12,32,6558970,14,"intergenic","AT2G15090","protein_coding","6544118","6564104","AT2G15090",6542166,6544118,"AT2G15128",6564104,6564316,1.88179445410084,2.88229634245071,5.1662766127824,3.31012246977798
"21585","2",6615273,6615326,"+",12,79,6615307,50,"three_prime_UTR","AT2G15230","protein_coding","6615205","6615457",NA,NA,NA,NA,NA,NA,2.50905927213445,7.96870165265786,12.0546454298256,7.51080211820597
"21597","2",6639358,6639450,"+",29,416,6639374,125,"three_prime_UTR","AT2G15270","protein_coding","6639253","6639429",NA,NA,NA,NA,NA,NA,43.2812724443193,43.7430856677814,38.3165515448028,41.7803032189678
"21601","2",6642222,6642245,"+",6,51,6642243,21,"three_prime_UTR","AT2G15280","protein_coding","6641976","6642353",NA,NA,NA,NA,NA,NA,2.50905927213445,5.08640531020714,7.3188918681084,4.97145215015
"21622","2",6667839,6668012,"+",20,60,6667892,13,"intergenic","AT2G15318","protein_coding","6665356","6677225","AT2G15318",6664649,6665356,"AT2G15340",6677225,6677928,6.27264818033613,5.59504584122786,7.3188918681084,6.3955286298908
"21653","2",6735589,6735767,"+",42,233,6735669,51,"three_prime_UTR","AT2G15430","protein_coding","6735483","6735819",NA,NA,NA,NA,NA,NA,26.3451223574117,24.2451986453207,20.6651064511296,23.7518091512874
"21679","2",6777206,6777308,"+",16,97,6777286,28,"three_prime_UTR","AT2G15530","protein_coding","6777069","6777332",NA,NA,NA,NA,NA,NA,12.5452963606723,9.49462324572,9.0409840723692,10.3603012262538
"21690","2",6798296,6798491,"+",60,291,6798353,34,"three_prime_UTR","AT2G15580","protein_coding","6798170","6798925",NA,NA,NA,NA,NA,NA,33.8723001738151,26.4493076130771,34.8723671362812,31.7313249743911
"21693","2",6798820,6798876,"+",22,451,6798835,241,"three_prime_UTR","AT2G15580","protein_coding","6798170","6798925",NA,NA,NA,NA,NA,NA,40.7722131721848,50.3554125710507,38.3165515448028,43.1480590960128
"21694","2",6798917,6798975,"+",15,74,6798917,38,"three_prime_UTR","AT2G15580","protein_coding","6798170","6798925",NA,NA,NA,NA,NA,NA,7.52717781640335,6.78187374694286,9.4715071234344,7.92685289559354
"21702","2",6812784,6812958,"+",80,1971,6812877,362,"three_prime_UTR","AT2G15620","protein_coding","6812667","6812941",NA,NA,NA,NA,NA,NA,244.633279033109,197.861166567058,178.236543140993,206.910329580387
"21728","2",6870201,6870228,"+",8,216,6870201,208,"intergenic","AT2G15730","protein_coding","6852214","6876163","AT2G15730",6849452,6852214,"AT2G06485",6876163,6876750,3.13632409016806,34.0789155783879,4.305230510652,13.8401567264026
"21735","2",6887862,6887901,"+",8,106,6887881,47,"intergenic","AT2G06485","lncRNA","6876750","6893949","AT2G06485",6876163,6876750,"AT2G15830",6893949,6894685,5.64538336230251,4.23867109183929,30.9976596766944,13.6272380436121
"21768","2",6932719,6932863,"+",24,95,6932786,17,"three_prime_UTR","AT2G15900","protein_coding","6932536","6932791",NA,NA,NA,NA,NA,NA,11.9180315426386,8.98598271469929,9.9020301744996,10.2686814772792
"21775","2",6947689,6947820,"+",33,157,6947760,52,"three_prime_UTR","AT2G15960","protein_coding","6947587","6947866",NA,NA,NA,NA,NA,NA,6.27264818033613,16.9546843673571,20.2345834000644,14.4873053159192
"21779","2",6951053,6951242,"+",63,1191,6951119,405,"three_prime_UTR","AT2G15970","protein_coding","6951013","6951192",NA,NA,NA,NA,NA,NA,122.316639516554,134.111553345795,88.257225468366,114.895139443572
"21788","2",6973659,6973693,"+",10,26,6973661,6,"intergenic","AT2G16020","protein_coding","6973586","6976017","AT2G16020",6973356,6973586,"AT2G16040",6976017,6977683,2.50905927213445,1.69546843673571,5.1662766127824,3.12360144055086
"21820","2",7052816,7052904,"+",49,1085,7052873,182,"three_prime_UTR","AT2G16280","protein_coding","7052725","7052951",NA,NA,NA,NA,NA,NA,111.025872791949,111.900916824557,106.76971666417,109.898835426892
"21828","2",7076551,7076618,"+",25,163,7076594,36,"three_prime_UTR","AT2G16365","protein_coding","7076390","7076649",NA,NA,NA,NA,NA,NA,20.0724741770756,13.055106962865,23.2482447575208,18.7919419658205
"21837","2",7089087,7089192,"+",32,150,7089158,55,"three_prime_UTR","AT2G16380","protein_coding","7088859","7089248",NA,NA,NA,NA,NA,NA,13.1725611787059,14.0723880249064,19.8040603489992,15.6830031842038
"21885","2",7200239,7200342,"+",14,84,7200328,23,"three_prime_UTR","AT2G16595","protein_coding","7200087","7200385",NA,NA,NA,NA,NA,NA,9.40897227050419,9.15552955837286,6.457845765978,8.34078253161835
"21891","2",7201430,7201698,"+",110,3242,7201563,1370,"three_prime_UTR","AT2G16600","protein_coding","7201384","7201755",NA,NA,NA,NA,NA,NA,320.532322015176,377.241727173696,217.844663838991,305.206237675955
"21897","2",7210946,7211108,"+",30,110,7211007,20,"three_prime_UTR","AT2G16630","protein_coding","7210873","7211134",NA,NA,NA,NA,NA,NA,8.15444263443696,9.32507640204643,18.0819681447384,11.8538290604073
"21905","2",7245543,7245778,"+",42,159,7245698,22,"three_prime_UTR","AT2G16700","protein_coding","7245468","7246069",NA,NA,NA,NA,NA,NA,18.1906797229748,14.5810285559271,18.9430142468688,17.2382408419236
"21908","2",7250099,7250140,"+",20,284,7250120,73,"three_prime_UTR","AT2G16710","protein_coding","7249938","7250291",NA,NA,NA,NA,NA,NA,19.445209359042,26.11021392573,42.6217820554548,29.3924017800756
"21909","2",7250243,7250295,"+",12,39,7250290,12,"three_prime_UTR","AT2G16710","protein_coding","7249938","7250291",NA,NA,NA,NA,NA,NA,4.39085372623529,3.39093687347143,5.1662766127824,4.31602240416304
"21934","2",7281101,7281207,"+",20,118,7281138,28,"three_prime_UTR","AT2G16770","protein_coding","7280818","7281165",NA,NA,NA,NA,NA,NA,11.9180315426386,13.2246538065386,9.0409840723692,11.3945564738488
"21942","2",7287286,7287400,"+",32,284,7287317,107,"three_prime_UTR","AT2G16800","protein_coding","7287189","7287393",NA,NA,NA,NA,NA,NA,28.2269168115126,25.7711202383829,37.4555054426724,30.4845141641893
"21948","2",7303252,7303465,"+",50,236,7303302,72,"three_prime_UTR","AT2G16850","protein_coding","7303181","7303509",NA,NA,NA,NA,NA,NA,25.7178575393781,22.2106365212379,27.5534752681728,25.1606564429296
"21967","2",7342217,7342251,"+",14,73,7342245,21,"three_prime_UTR","AT2G16930","protein_coding","7342119","7342317",NA,NA,NA,NA,NA,NA,8.15444263443696,6.10368637224857,10.3325532255648,8.19689407741678
"21968","2",7342284,7342318,"+",12,75,7342285,21,"three_prime_UTR","AT2G16930","protein_coding","7342119","7342317",NA,NA,NA,NA,NA,NA,7.52717781640335,8.64688902735214,5.1662766127824,7.11344781884597
"21976","2",7361031,7361051,"+",15,226,7361041,119,"three_prime_UTR","AT2G16950","protein_coding","7360638","7361256",NA,NA,NA,NA,NA,NA,22.5815334492101,24.0756518016471,20.6651064511296,22.4407639006623
"21977","2",7361080,7361093,"+",6,37,7361088,19,"three_prime_UTR","AT2G16950","protein_coding","7360638","7361256",NA,NA,NA,NA,NA,NA,2.50905927213445,4.40821793551286,3.0136613574564,3.31031285503457
"21978","2",7361129,7361215,"+",17,63,7361143,16,"three_prime_UTR","AT2G16950","protein_coding","7360638","7361256",NA,NA,NA,NA,NA,NA,3.76358890820168,8.13824849633143,3.8747074595868,5.25884828803997
"22005","2",7400839,7400983,"+",22,86,7400938,21,"three_prime_UTR","AT2G17030","protein_coding","7400651","7400970",NA,NA,NA,NA,NA,NA,10.0362370885378,7.79915480898429,10.3325532255648,9.38931504102896
"22009","2",7403236,7403310,"+",15,87,7403278,24,"three_prime_UTR","AT2G17033","protein_coding","7403208","7403646",NA,NA,NA,NA,NA,NA,6.27264818033613,9.49462324572,9.0409840723692,8.26941849947511
"22012","2",7403486,7403493,"+",7,72,7403488,33,"three_prime_UTR","AT2G17033","protein_coding","7403208","7403646",NA,NA,NA,NA,NA,NA,5.64538336230251,5.25595215388072,13.7767376340864,8.22602438342321
"22019","2",7405276,7405378,"+",12,56,7405301,26,"intergenic","AT2G17036","protein_coding","7405262","7406911","AT2G17036",7403693,7405262,"AT2G17040",7406911,7408393,4.39085372623529,5.59504584122786,6.8883688170432,5.62475612816878
"22029","2",7408182,7408278,"+",36,232,7408248,59,"three_prime_UTR","AT2G17040","protein_coding","7408121","7408393",NA,NA,NA,NA,NA,NA,23.8360630852773,17.2937780547043,39.6081206979984,26.9126539459933
"22040","2",7460718,7460827,"+",46,1543,7460775,416,"three_prime_UTR","AT2G17120","protein_coding","7460649","7460819",NA,NA,NA,NA,NA,NA,135.48920069526,175.311436358473,126.143253962104,145.647963671946
"22058","2",7499004,7499016,"+",5,62,7499013,51,"three_prime_UTR","AT2G17240","protein_coding","7498997","7499331",NA,NA,NA,NA,NA,NA,6.89991299836974,7.96870165265786,1.7220922042608,5.53023561842947
"22059","2",7499068,7499193,"+",36,322,7499183,122,"three_prime_UTR","AT2G17240","protein_coding","7498997","7499331",NA,NA,NA,NA,NA,NA,37.6358890820168,34.2484624220614,25.831383063912,32.5719115226634
"22060","2",7499303,7499340,"+",8,23,7499303,9,"three_prime_UTR","AT2G17240","protein_coding","7498997","7499331",NA,NA,NA,NA,NA,NA,5.64538336230251,1.69546843673571,1.7220922042608,3.02098133443301
"22065","2",7503055,7503127,"+",13,235,7503087,119,"three_prime_UTR","AT2G17250","protein_coding","7502958","7503195",NA,NA,NA,NA,NA,NA,22.5815334492101,23.2279175832793,26.6924291660424,24.1672933995106
"22070","2",7509808,7509954,"+",40,840,7509861,223,"three_prime_UTR","AT2G17265","protein_coding","7509719","7509887",NA,NA,NA,NA,NA,NA,71.5081892558318,97.4894351123036,65.0089807108452,78.0022016929936
"22072","2",7512358,7512389,"+",9,37,7512364,11,"three_prime_UTR","AT2G17270","protein_coding","7512119","7512502",NA,NA,NA,NA,NA,NA,3.76358890820168,3.39093687347143,4.7357535617172,3.96342644779677
"22086","2",7519534,7519567,"+",20,251,7519553,114,"three_prime_UTR","AT2G17290","protein_coding","7519240","7519662",NA,NA,NA,NA,NA,NA,18.8179445410084,28.8229634245071,21.9566756043252,23.1991945232802
"22104","2",7548196,7548344,"+",72,4159,7548293,2387,"three_prime_UTR","AT2G17360","protein_coding","7548139","7548406",NA,NA,NA,NA,NA,NA,436.576313351394,448.960042047617,350.876286618138,412.13754733905
"22107","2",7550316,7550336,"+",16,65,7550320,16,"CDS","AT2G17370","protein_coding","7550007","7550920",NA,NA,NA,NA,NA,NA,8.15444263443696,4.40821793551286,11.1935993276952,7.91875329921501
"22109","2",7552140,7552190,"+",13,40,7552152,11,"three_prime_UTR","AT2G17370","protein_coding","7551982","7552260",NA,NA,NA,NA,NA,NA,1.88179445410084,4.06912424816572,5.5967996638476,3.84923945537138
"22111","2",7552944,7552944,"+",1,51,7552944,51,"intergenic","AT2G17370","protein_coding","7552260","7552992","AT2G17370",7549702,7552260,"AT2G17380",7552992,7555163,1.88179445410084,1.35637474938857,17.220922042608,6.81969708203247
"22116","2",7555033,7555053,"+",16,164,7555046,97,"three_prime_UTR","AT2G17380","protein_coding","7554888","7555163",NA,NA,NA,NA,NA,NA,16.3088852688739,17.9719654293986,13.7767376340864,16.0191961107863
"22123","2",7557861,7557954,"+",45,1209,7557931,305,"three_prime_UTR","AT2G17390","protein_coding","7557744","7558064",NA,NA,NA,NA,NA,NA,140.507319239529,120.717352695583,117.5327929408,126.252488291971
"22128","2",7563606,7563748,"+",32,103,7563717,23,"three_prime_UTR","AT2G17410","protein_coding","7563475","7563752",NA,NA,NA,NA,NA,NA,5.64538336230251,12.8855601191914,7.7494149191736,8.76011946688918
"22131","2",7566360,7566476,"+",37,292,7566458,117,"three_prime_UTR","AT2G17420","protein_coding","7566220","7566572",NA,NA,NA,NA,NA,NA,27.599651993479,31.0270723922636,27.983998319238,28.8702409016602
"22132","2",7566506,7566559,"+",10,47,7566528,13,"three_prime_UTR","AT2G17420","protein_coding","7566220","7566572",NA,NA,NA,NA,NA,NA,5.0181185442689,5.25595215388072,3.4441844085216,4.57275170222374
"22136","2",7573698,7573765,"+",18,70,7573725,16,"three_prime_UTR","AT2G17440","protein_coding","7573546","7573878",NA,NA,NA,NA,NA,NA,4.39085372623529,7.46006112163714,8.1799379702388,6.67695093937041
"22152","2",7621024,7621144,"+",26,130,7621074,37,"three_prime_UTR","AT2G17520","protein_coding","7620930","7621129",NA,NA,NA,NA,NA,NA,13.7998259967395,10.0032637767407,21.0956295021948,14.9662397585583
"22164","2",7628726,7628880,"+",49,137,7628775,11,"three_prime_UTR","AT2G17530","protein_coding","7628625","7629149",NA,NA,NA,NA,NA,NA,16.9361500869075,12.5464664318443,15.4988298383472,14.9938154523663
"22169","2",7633588,7633655,"+",11,31,7633654,7,"exon","AT2G06995","lncRNA","7633214","7634069",NA,NA,NA,NA,NA,NA,1.25452963606723,1.86501528040929,7.7494149191736,3.62298661188337
"22180","2",7646114,7646163,"+",8,31,7646145,12,"three_prime_UTR","AT2G17570","protein_coding","7645974","7646274",NA,NA,NA,NA,NA,NA,3.13632409016806,3.39093687347143,2.5831383063912,3.0367997566769
"22193","2",7667962,7668064,"+",24,76,7668057,19,"three_prime_UTR","AT2G17630","protein_coding","7667906","7668065",NA,NA,NA,NA,NA,NA,5.0181185442689,8.47734218367857,7.7494149191736,7.08162521570703
"22203","2",7675969,7676112,"+",18,47,7675970,15,"three_prime_UTR","AT2G17670","protein_coding","7675812","7676276",NA,NA,NA,NA,NA,NA,4.39085372623529,5.08640531020714,4.305230510652,4.59416318236481
"22219","2",7693224,7693320,"+",28,177,7693316,50,"intergenic","AT2G17705","protein_coding","7693253","7693596","AT2G17705",7692396,7693253,"AT2G17710",7693596,7694746,21.9542686311764,17.1242312110307,17.6514450936732,18.9099816452935
"22221","2",7694669,7694831,"+",34,90,7694747,18,"intergenic","AT2G17710","protein_coding","7694746","7697311","AT2G17710",7693596,7694746,"AT2G17720",7697311,7699630,11.290766724605,9.15552955837286,7.7494149191736,9.39857040071716
"22224","2",7699451,7699619,"+",37,418,7699551,142,"three_prime_UTR","AT2G17720","protein_coding","7699318","7699630",NA,NA,NA,NA,NA,NA,38.2631539000504,42.2171640747193,46.4964895150416,42.3256024966038
"22230","2",7705551,7705653,"+",22,89,7705556,29,"three_prime_UTR","AT2G17730","protein_coding","7705313","7705831",NA,NA,NA,NA,NA,NA,10.6635019065714,8.47734218367857,9.4715071234344,9.53745040456146
"22238","2",7716350,7716434,"+",9,53,7716422,29,"three_prime_UTR","AT2G17760","protein_coding","7716270","7716505",NA,NA,NA,NA,NA,NA,3.13632409016806,6.61232690326929,3.8747074595868,4.54111948434138
"22255","2",7732980,7733074,"+",15,55,7733024,17,"three_prime_UTR","AT2G17787","protein_coding","7732854","7733137",NA,NA,NA,NA,NA,NA,5.0181185442689,5.76459268490143,5.5967996638476,5.45983696433931
"22263","2",7739551,7739686,"+",33,186,7739572,50,"three_prime_UTR","AT2G17790","protein_coding","7739345","7739675",NA,NA,NA,NA,NA,NA,13.7998259967395,18.98924649144,22.3871986553904,18.39209038119
"22267","2",7742097,7742173,"+",35,199,7742133,51,"three_prime_UTR","AT2G17800","protein_coding","7741943","7742280",NA,NA,NA,NA,NA,NA,20.6997389951092,15.9374033053157,30.9976596766944,22.5449339923731
"22304","2",7822060,7822184,"+",25,292,7822177,222,"three_prime_UTR","AT2G17972","protein_coding","7822101","7822330",NA,NA,NA,NA,NA,NA,33.2450353557815,26.2797607694036,36.1639362894768,31.8962441382206
"22305","2",7822226,7822364,"+",37,298,7822331,48,"intergenic","AT2G17972","protein_coding","7822330","7824166","AT2G17972",7821585,7822330,"AT2G17980",7824166,7826623,28.8541816295462,28.9925102681807,34.8723671362812,30.906353011336
"22309","2",7826490,7826596,"+",30,98,7826498,17,"three_prime_UTR","AT2G17980","protein_coding","7826405","7826623",NA,NA,NA,NA,NA,NA,11.290766724605,8.13824849633143,13.7767376340864,11.0685842850076
"22313","2",7828691,7828779,"+",19,179,7828755,59,"three_prime_UTR","AT2G17990","protein_coding","7828434","7828785",NA,NA,NA,NA,NA,NA,14.4270908147731,17.1242312110307,23.678767808586,18.4100299447966
"22318","2",7830750,7830798,"+",13,31,7830785,6,"three_prime_UTR","AT2G18000","protein_coding","7830581","7830898",NA,NA,NA,NA,NA,NA,3.76358890820168,2.71274949877714,3.8747074595868,3.45034862218854
"22329","2",7838214,7838419,"+",100,9967,7838266,3822,"three_prime_UTR","AT2G18020","protein_coding","7838161","7838476",NA,NA,NA,NA,NA,NA,1201.8393913524,1038.98305803165,827.89582719838,1022.90609219414
"22330","2",7840016,7840028,"+",8,102,7840024,42,"intergenic","AT2G18025","protein_coding","7839199","7840037","AT2G18025",7838773,7839199,"AT2G18030",7840037,7841823,10.0362370885378,8.81643587102572,14.6377837362168,11.1634855652601
"22331","2",7841609,7841788,"+",49,143,7841754,13,"three_prime_UTR","AT2G18030","protein_coding","7841497","7841823",NA,NA,NA,NA,NA,NA,10.0362370885378,16.7851375236836,12.0546454298256,12.958673347349
"22333","2",7843710,7843924,"+",86,916,7843830,255,"three_prime_UTR","AT2G18040","protein_coding","7843538","7843942",NA,NA,NA,NA,NA,NA,91.5806634329074,81.2129381196407,125.282207859973,99.3586031375071
"22337","2",7846812,7846874,"+",13,48,7846870,19,"three_prime_UTR","AT2G18050","protein_coding","7846671","7846884",NA,NA,NA,NA,NA,NA,1.88179445410084,6.10368637224857,3.8747074595868,3.95339609531207
"22349","2",7867688,7867773,"+",16,46,7867688,8,"three_prime_UTR","AT2G18090","protein_coding","7867318","7867766",NA,NA,NA,NA,NA,NA,2.50905927213445,5.934139528575,3.0136613574564,3.81895338605528
"22356","2",7873815,7873880,"+",28,614,7873865,324,"three_prime_UTR","AT2G18110","protein_coding","7873714","7874010",NA,NA,NA,NA,NA,NA,65.8628058935293,62.0541447845272,61.5647963023236,63.1605823267934
"22378","2",7931229,7931260,"+",7,61,7931259,51,"intron","AT2G18220","protein_coding","7931231","7931544",NA,NA,NA,NA,NA,NA,4.39085372623529,7.62960796531071,3.8747074595868,5.29838971704427
"22383","2",7931943,7932005,"+",16,161,7931951,84,"three_prime_UTR","AT2G18220","protein_coding","7931852","7931953",NA,NA,NA,NA,NA,NA,13.1725611787059,17.1242312110307,16.7903989915428,15.6957304604265
"22385","2",7936696,7936747,"+",14,113,7936722,58,"three_prime_UTR","AT2G18240","protein_coding","7936465","7936900",NA,NA,NA,NA,NA,NA,13.7998259967395,10.5119043077614,12.4851684808908,12.2656329284639
"22395","2",7941586,7941638,"+",14,87,7941609,21,"three_prime_UTR","AT2G18250","protein_coding","7941500","7941696",NA,NA,NA,NA,NA,NA,8.78170745247058,7.62960796531071,12.0546454298256,9.48865361586897
"22396","2",7941676,7941705,"+",7,34,7941677,23,"three_prime_UTR","AT2G18250","protein_coding","7941500","7941696",NA,NA,NA,NA,NA,NA,1.88179445410084,3.05184318612429,5.5967996638476,3.51014576802424
"22402","2",7948262,7948396,"+",27,112,7948324,27,"three_prime_UTR","AT2G18280","protein_coding","7948177","7948468",NA,NA,NA,NA,NA,NA,15.6816204508403,11.6987322134764,7.7494149191736,11.7099225278301
"22403","2",7948449,7948468,"+",8,37,7948454,19,"three_prime_UTR","AT2G18280","protein_coding","7948177","7948468",NA,NA,NA,NA,NA,NA,5.0181185442689,2.88229634245071,5.1662766127824,4.35556383316734
"22415","2",7964787,7964947,"+",52,815,7964908,175,"three_prime_UTR","AT2G18328","protein_coding","7964712","7964995",NA,NA,NA,NA,NA,NA,97.22604679521,86.8079839608686,63.7174115576496,82.583814104576
"22418","2",7968983,7969065,"+",22,128,7969011,31,"three_prime_UTR","AT2G18330","protein_coding","7968916","7969108",NA,NA,NA,NA,NA,NA,8.78170745247058,13.7332943375593,14.2072606851516,12.2407541583938
"22432","2",7989499,7989525,"+",8,38,7989505,18,"three_prime_UTR","AT2G18390","protein_coding","7989375","7989525",NA,NA,NA,NA,NA,NA,2.50905927213445,3.89957740449214,4.7357535617172,3.7147967461146
"22454","2",8050000,8050000,"+",1,42,8050000,42,"intergenic","AT2G18530","protein_coding","8040780","8059106","AT2G18530",8039670,8040780,"AT2G18560",8059106,8061073,7.52717781640335,3.89957740449214,3.0136613574564,4.81347219278397
"22482","2",8082623,8082767,"+",30,151,8082698,39,"three_prime_UTR","AT2G18630","protein_coding","8082324","8082901",NA,NA,NA,NA,NA,NA,16.9361500869075,15.0896690869479,15.068306787282,15.6980419870458
"22493","2",8095785,8095848,"+",12,114,8095787,96,"intergenic","AT2G18680","protein_coding","8095779","8097420","AT2G18680",8094614,8095779,"AT2G18690",8097420,8098827,9.40897227050419,11.0205448387821,14.6377837362168,11.6891002818344
"22499","2",8098743,8098872,"+",46,494,8098754,102,"three_prime_UTR","AT2G18690","protein_coding","8098619","8098827",NA,NA,NA,NA,NA,NA,39.5176835361176,57.4763800053407,39.6081206979984,45.5340614131522
"22506","2",8111853,8111956,"+",21,134,8111955,48,"three_prime_UTR","AT2G18700","protein_coding","8111800","8112010",NA,NA,NA,NA,NA,NA,9.40897227050419,12.8855601191914,18.5124911958036,13.6023411951664
"22507","2",8111992,8112104,"+",22,54,8112011,13,"intergenic","AT2G18700","protein_coding","8112010","8116999","AT2G18700",8108898,8112010,"AT2G18721",8116999,8117106,3.13632409016806,5.76459268490143,6.457845765978,5.1195875136825
"22509","2",8121735,8121941,"+",51,612,8121890,191,"three_prime_UTR","AT2G18730","protein_coding","8121690","8121947",NA,NA,NA,NA,NA,NA,59.5901577131932,62.5627853155479,63.7174115576496,61.9567848621302
"22512","2",8122604,8122751,"+",21,57,8122626,12,"exon","AT2G18735","ncRNA","8122119","8123076",NA,NA,NA,NA,NA,NA,4.39085372623529,6.78187374694286,4.305230510652,5.15931932794338
